dVal1,dVal2,dVal3,dStd1,dStd2,dStd3,dStdTotal,dCovar12,dCovar13,dCovar23,dPointingErrorH,dPointingErrorV,dPointingErrorD,dAprioriStd1,dAprioriStd2,dAprioriStd3,dAprioriStdTotal,dAprioriCovar12,dAprioriCovar13,dAprioriCovar23,dTemperature,dPressure,dHumidity,
-1062.5966,-2380.0849,-781.6322,0.00455313,0.00287162,0.00183143,0.00568606,-6.96141e-06,2.39667e-07,5.36825e-07,0.000276684,0.000147667,0.0154095,0.0124467,0.00974481,0.0132541,0.020629,-3.34333e-05,-1.28469e-05,-2.87755e-05,28.7,998.1,39.1,
-1171.4894,-2321.2729,-781.5752,0.00158027,0.00100512,0.00192178,0.00268342,-1.00692e-06,-4.75108e-07,-9.41412e-07,6.58938e-05,0.000157671,0.00817296,0.0122851,0.00989858,0.0132233,0.0205855,-3.58499e-05,-1.41389e-05,-2.80159e-05,28.7,998.1,39.1,
-1121.2930,-2489.0671,-780.4155,0.0011019,0.000652177,0.00165007,0.0020886,-4.45842e-07,-3.1944e-07,-7.09099e-07,4.22226e-05,9.24803e-05,0.00513631,0.0129944,0.0100129,0.0138506,0.0214698,-3.87694e-05,-1.39434e-05,-3.09519e-05,28.7,998.1,39.1,
-1062.5759,-2380.1050,-781.6105,0.00518066,0.00301729,0.00250593,0.00649792,-9.88862e-06,-2.13615e-07,-4.78485e-07,0.000417534,0.000134664,0.0218998,0.0124468,0.00974477,0.0132542,0.020629,-3.34333e-05,-1.28463e-05,-2.87749e-05,28.7,998.1,39.1,
-1199.1935,-2446.2522,-684.1159,0.00201874,0.00272334,0.00313124,0.00461482,2.15607e-06,-1.57037e-07,-3.20341e-07,0.000123946,0.000217757,0.0134577,0.0128481,0.0100163,0.0137787,0.0213366,-4.1781e-05,-1.29777e-05,-2.64734e-05,28.7,998,39.1,
-1178.8060,-2514.8212,-756.5128,0.00292145,0.00168984,0.00179852,0.00382428,-3.41175e-06,-2.47039e-07,-5.27024e-07,2.70905e-05,0.000116547,0.00638686,0.0131561,0.0101437,0.0140696,0.02177,-4.21645e-05,-1.43381e-05,-3.05884e-05,28.7,998,39.2,
-1298.8835,-2463.7312,-695.4530,0.00451752,0.00242797,0.00202634,0.00551445,-1.05965e-05,-4.71623e-07,-8.94579e-07,0.000195247,0.000200793,0.0140322,0.0130184,0.0102941,0.0140803,0.0217647,-4.63715e-05,-1.44976e-05,-2.74992e-05,28.7,998.1,39.2,
-1199.1875,-2446.2496,-684.0835,0.00195032,0.00123701,0.00164211,0.00283381,-1.46709e-06,-2.22422e-07,-4.53724e-07,8.8071e-05,0.000142718,0.00839212,0.0128481,0.0100162,0.0137786,0.0213366,-4.1781e-05,-1.2977e-05,-2.6472e-05,28.7,998.2,39.1,
-1065.4092,-2561.8580,-781.3616,0.00536986,0.00307088,0.0076387,0.00982932,-9.75765e-06,-6.22235e-06,-1.49621e-05,0.000276958,0.000525997,0.0300605,0.0132831,0.00999268,0.0140675,0.0217758,-3.85106e-05,-1.33962e-05,-3.22121e-05,28.8,998.2,38.9,
-1162.8634,-2485.5380,-781.4735,0.00254902,0.00149301,0.00249114,0.00386424,-2.55658e-06,-6.79353e-07,-1.45207e-06,0.000116619,0.000195058,0.0113452,0.0130146,0.0101006,0.0139197,0.0215676,-4.03435e-05,-1.45268e-05,-3.105e-05,28.8,998.2,38.9,
