x y z
-398.10 112.01 639.68
-296.56 83.77 758.11
-354.73 117.32 734.11
-407.84 73.93 715.5
-428.92 98.04 662.64
-419.95 95.55 776.77
-569.61 137.16 700.52
-556.13 132.81 741.29
-589.06 147.26 835.66
-562.57 240.14 922.83
-531.81 234.79 719.79
-495.35 216.89 616.83
-476.78 203.55 794.13
-387.83 174.03 895.54
-291.41 134.24 953.10
-308.26 89.62 952.36
-326.15 95.43 801.26
-311.47 82.81 706.71
-396.11 110.26 582.57
-353.49 171.20 583.43
-450.73 223.85 579.07
-517.54 274.33 739.92
-530.12 291.72 842.25
-357.02 92.30 700.08
